id;book;text;audiofile
39;Кудзоева А. Ирон Авз?г 8 класс;Хурыск?с?ны дымг? ул?фыдис, ?м? сыфт?рт? зарг? й? раз?й згъордтой.;8cl_39.mp3
40;Кудзоева А. Ирон Авз?г 8 класс;Хохы сырдт? г?ппыт? кодтой.;8cl_40.mp3
41;Кудзоева А. Ирон Авз?г 8 класс;«Ехх, – загътой иууылд?р, – ах?м с?рибар дуг куы уаид!»;8cl_41.mp3
42;Кудзоева А. Ирон Авз?г 8 класс;"Ф?л? иу р?ст?г бир? н? х?ссы; ?р?гв?зз?г ф?цис, сау мигъ ?р?хг?дта х?хт?, к?мтт?; б?ст? баталынг ис…";8cl_42.mp3
43;Кудзоева А. Ирон Авз?г 8 класс;– ?гас цу, Ф?зз?г!;8cl_43.mp3
44;Кудзоева А. Ирон Авз?г 8 класс;Чи дыл с?в?рдта ах?м р?сугъд ном?;8cl_44.mp3
45;Кудзоева А. Ирон Авз?г 8 класс;Ф?зз?г й? мидбылты бахудтис, ?м? у?ззау мигът? аленк кодтой арвы к?ронм?.;8cl_45.mp3
46;Кудзоева А. Ирон Авз?г 8 класс;– Байхъус-ма л?мбын?г: Ф?з-з-з?г…;8cl_46.mp3
47;Кудзоева А. Ирон Авз?г 8 класс;Мыдыбындзыт? т?хынц адджын мыдим?, сыфт?рты ?хс?н?й ?рттивынц р?гъ?д дыргът?.;8cl_47.mp3
48;Кудзоева А. Ирон Авз?г 8 класс;Райсом?й х?хт?й рат?хы уазал дымг?, й? раз?й рах?ссы тар мигът?, ?хситт к?ны: ф?з-з-з?г…;8cl_48.mp3
49;Кудзоева А. Ирон Авз?г 8 класс;М? номы фыццаг у?нг ?рттивы алыхуызон ахор?нт?й: бур, сырх, цъ?х.;8cl_49.mp3
50;Кудзоева А. Ирон Авз?г 8 класс;Дзаг у хуры хъарм?й.;8cl_50.mp3
51;Кудзоева А. Ирон Авз?г 8 класс;Дыккаг у?нг та у уазал, к?уаг, т?ргайг?наг;8cl_51.mp3
52;Кудзоева А. Ирон Авз?г 8 класс;Ф?зз?г йе ’рфгуыт? фелхынцъ кодта, ?рбапп?рста мыл хуылыдз бур сыфт?рт?, ?ркалдта мыл къ?вдайы уазал ?рт?хт?.;8cl_52.mp3
53;Кудзоева А. Ирон Авз?г 8 класс;– Ма т?рс, ?з х?ларз?рд?, ф?лм?н д?н, – хъусын Ф?зз?джы хин хъ?л?с.;8cl_53.mp3
54;Кудзоева А. Ирон Авз?г 8 класс;– ?з м? хоты хуыз?н н? д?н.;8cl_54.mp3
55;Кудзоева А. Ирон Авз?г 8 класс;М? хист?р хо, С?рд, ад?мы й? т?вд?й судзы.;8cl_55.mp3
56;Кудзоева А. Ирон Авз?г 8 класс;М? к?ст?р хо, Зым?г, б?ст? нысс?лын к?ны.;8cl_56.mp3
57;Кудзоева А. Ирон Авз?г 8 класс;У?дд?р с? уарзут!;8cl_57.mp3
58;Кудзоева А. Ирон Авз?г 8 класс;Ф?т?ргай ис Ф?зз?г.;8cl_58.mp3
59;Кудзоева А. Ирон Авз?г 8 класс;Амб?хстис мигъты ф?ст?.;8cl_59.mp3
60;Кудзоева А. Ирон Авз?г 8 класс;Уары къ?вда.;8cl_60.mp3
61;Кудзоева А. Ирон Авз?г 8 класс;Ф?зз?джы уазал ц?ссыгт? з?хм? хауынц.;8cl_61.mp3
62;Кудзоева А. Ирон Авз?г 8 класс;С?в?рут цавды ныс?нтт?.;8cl_62.mp3
63;Кудзоева А. Ирон Авз?г 8 класс;Дзырдт? раст дзурут.;8cl_63.mp3
64;Кудзоева А. Ирон Авз?г 8 класс;Байхъусут текстм? ?м? дзуапп раттут фарстыт?н;8cl_64.mp3
65;Кудзоева А. Ирон Авз?г 8 класс;Н? эр?йы разм? ?вд?м-?хс?з?м ?нусты Сау денджызы былыл, нырт?кк?йы Сухумы бынаты, уыдис бердзенаг колони Диоскури.;8cl_65.mp3
66;Кудзоева А. Ирон Авз?г 8 класс;Й? ц?рджыт? с?уд?джер кодтой бын?ттон ад?мтим?.;8cl_66.mp3
67;Кудзоева А. Ирон Авз?г 8 класс;"Уый тыхх?й рагон бердзенаг географ Страбон фыста: ""Ам ?р?мбырд в?ййынц у?йг?нджыт? ?вдай алыхуызон ад?мт?й"".";8cl_67.mp3
68;Кудзоева А. Ирон Авз?г 8 класс;С? фылд?р сты с?рм?тагзн?мт?, ц?рынц Кавказы х?хты.;8cl_68.mp3
69;Кудзоева А. Ирон Авз?г 8 класс;Аст?уккаг ?нусты Кавказы ?вз?гты ным?цыл дис кодтой араббаг ?м? персайнаг б?лцц?тт? ?м? географт? д?р.;8cl_69.mp3
70;Кудзоева А. Ирон Авз?г 8 класс;Д?с?м ?нусы Масуди фыста: «Ацы х?хты ц?рынц ?вдай дыуу? ад?мыхатты, алк?м?н д?р ис й?хи паддзах, й?хи ?взаг...;8cl_70.mp3
71;Кудзоева А. Ирон Авз?г 8 класс;?рм?ст Аллах банымайдз?нис Кавказы ц?р?г ад?мты;8cl_71.mp3
72;Кудзоева А. Ирон Авз?г 8 класс; Кавказы хох – ?вз?гты хох;8cl_72.mp3
73;Кудзоева А. Ирон Авз?г 8 класс;?ц?г?й цал ?м? цав?р ад?мт? цардысты Кавказы н? эр?йы разм?, уый зын з?гъ?н у.;8cl_73.mp3
74;Кудзоева А. Ирон Авз?г 8 класс;Ф?л? нырт?кк? ам фехъус?н ис ф?ндзай ?взаг?й фылд?р.;8cl_74.mp3
75;Кудзоева А. Ирон Авз?г 8 класс;Уыцы ?вз?гт?й бир?т? дих к?нынц диалекттыл ?м? ныхасызд?хтытыл.;8cl_75.mp3
76;Кудзоева А. Ирон Авз?г 8 класс;З?гъ?м, авайраг ?взаджы ис диалектты ?рт? къорды: ц?гатаг, аст?уккаг ?м? хуссайраг.;8cl_76.mp3
77;Кудзоева А. Ирон Авз?г 8 класс;Ацы диалекттыл дзур?г авайр?гт? к?р?дзи не ’мбарынц.;8cl_77.mp3
78;Кудзоева А. Ирон Авз?г 8 класс;"Кавказы ц?р?г ад?мты ?вз?гт? хауынц алыхуызон ?вз?гты бинонт?м: индоевроп?йаг (аллон, уырыссаг, курдаг, татаг, сомихаг); тюркаг (азербайджайнаг, хъуымыхъхъаг, хъ?р?сейаг-балхъайраг, ногъайаг); ц?гат-кавказаг (абхазаг, адыгейаг, к?сгон, ц?ц?йнаг, м?хъхъ?лон, авайраг, лакаг, даргинаг, лезгинаг ?м? ?нд?рт?); картвелаг (гуырдзиаг, мегрелаг, сванаг).";8cl_78.mp3
79;Кудзоева А. Ирон Авз?г 8 класс;Ц?гат-кавказаг ?вз?гты ным?ц (?н? диалектт?й ?м? ныхасызд?хтыт?й) х?цц? к?ны цыппорм?.;8cl_79.mp3
80;Кудзоева А. Ирон Авз?г 8 класс;Т?рхъус;8cl_80.mp3
81;Кудзоева А. Ирон Авз?г 8 класс;Тар хъ?ды ц?ры т?рхъус, Зым?джы бынтон ысурс? Хъуам? миты хуыз?н уа ?м? мак?м? зына.;8cl_81.mp3
82;Кудзоева А. Ирон Авз?г 8 класс;Ф?л? з?хх нырма у сау.;8cl_82.mp3
83;Кудзоева А. Ирон Авз?г 8 класс;Мит куынн? рауарыд?;8cl_83.mp3
84;Кудзоева А. Ирон Авз?г 8 класс;Ау?;8cl_84.mp3
85;Кудзоева А. Ирон Авз?г 8 класс;Т?рхъус сагъ?ссаг ф?ци, – Ныр куыд амб?хса й?хи? Цас ын ис ызн?гт?, цас! –;8cl_85.mp3
86;Кудзоева А. Ирон Авз?г 8 класс;Уари, рувас, бир?гъ, арс…;8cl_86.mp3
87;Кудзоева А. Ирон Авз?г 8 класс;Цуанон?й д?р н?у ?дас;8cl_87.mp3
88;Кудзоева А. Ирон Авз?г 8 класс;Чи рах?ца ныр й? фарс?;8cl_88.mp3
89;Кудзоева А. Ирон Авз?г 8 класс;Ма бад, зым?г, гъей, ?нцад!;8cl_89.mp3
90;Кудзоева А. Ирон Авз?г 8 класс;Фурды арф?й раскъ?ф уад;8cl_90.mp3
91;Кудзоева А. Ирон Авз?г 8 класс;Уадз ?м? ?хситт к?на, Арв?й з?хм? мит к?ла.;8cl_91.mp3
92;Кудзоева А. Ирон Авз?г 8 класс;Т?рхъус сул?фдз?ни у?д, Нал к?ндз?ни сагъ?с, м?т.;8cl_92.mp3
93;Кудзоева А. Ирон Авз?г 8 класс;"Тынг уарзта;";8cl_93.mp3
94;Кудзоева А. Ирон Авз?г 8 класс;"цыргъзонд салдат;";8cl_94.mp3
95;Кудзоева А. Ирон Авз?г 8 класс;"уыцы салдат;";8cl_95.mp3
96;Кудзоева А. Ирон Авз?г 8 класс;"цалд?р боны ф?ст?;";8cl_96.mp3
97;Кудзоева А. Ирон Авз?г 8 класс;"н? й? базыдтай; ";8cl_97.mp3
98;Кудзоева А. Ирон Авз?г 8 класс;цы г?н?н ма уыдис? ;8cl_98.mp3
99;Кудзоева А. Ирон Авз?г 8 класс;ц?м?й хиц?н к?ны?;8cl_99.mp3
100;Кудзоева А. Ирон Авз?г 8 класс;Мыййаг, х?сты быдыры искуы Куы ф?уон мард...;8cl_100.mp3
101;Кудзоева А. Ирон Авз?г 8 класс;?м? куы аскъуына ?мбисыл М? р?зг? цард.;8cl_101.mp3
102;Кудзоева А. Ирон Авз?г 8 класс;Мыййаг, куы нал ф?уон к?ронм? М? зар?г ?з.;8cl_102.mp3
103;Кудзоева А. Ирон Авз?г 8 класс;?м? куы бамыр уа бынтонд?р М? сонт хъ?л?с...;8cl_103.mp3
104;Кудзоева А. Ирон Авз?г 8 класс;Мыййаг, куы ф?сыкк уой м? ф?ндт?, М? рухс ф?ндаг...;8cl_104.mp3
105;Кудзоева А. Ирон Авз?г 8 класс;О, курын у?, зынаргъ ?мб?лтт?, ?з иу хъуыддаг.;8cl_105.mp3
106;Кудзоева А. Ирон Авз?г 8 класс;З?гъут-иу мын м? з?ронд мад?н, Куы ф?уа х?ст: Х?сты быдыры, з?гъ, ф?мард д?н Цытим? ?з.;8cl_106.mp3
107;Кудзоева А. Ирон Авз?г 8 класс;З?гъут-иу ноджыд?р Кавказ?н Салам м?н?й.;8cl_107.mp3
108;Кудзоева А. Ирон Авз?г 8 класс;?ц?г хъ?булау д?, з?гъ, уарзтон З?рд?бын?й.;8cl_108.mp3
109;Кудзоева А. Ирон Авз?г 8 класс;Фыдыб?ст?йы Стыр х?сты историйы с?йрагд?р цаут?й иу у Елхотты фарсм? тох.;8cl_109.mp3
110;Кудзоева А. Ирон Авз?г 8 класс;Ам сырх?фс?ддонт? баур?дтой немыцаг фашистты, н? с? ауагътой дардд?р, Дз?уджыхъ?у ?м? Грознам?.;8cl_110.mp3
111;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Л?в?рд текстт?н раиртас с? хиц?ндзин?дт?.;9cl_111.mp3
112;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ац?м?з уарзы зым?гон каникулт?.;9cl_112.mp3
113;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Аф?дзы д?ргъы уыдонм? фенхъ?лм? к?сы.;9cl_113.mp3
114;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Й? з?рд?м? тынг ц?уы Ног азы б?р?гбон.;9cl_114.mp3
115;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Р?сугъд ф?лыст заз б?лас ?м? диссаджы л?в?ртт? – цы ма уа уым?й хуызд?р!;9cl_115.mp3
116;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ац?м?зы з?рд?м? ма тынг ц?уынц зым?гон хъ?зтыт?.;9cl_116.mp3
117;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Уый уарзы къуыбыр?й дзоныгъыл бырын, йе ’мб?лттим? миткъуыб?ртт?й хъазын.;9cl_117.mp3
118;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ар?х саразынц ?ц?г спортивон ерыст?.;9cl_118.mp3
119;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Алан? уарзы с?рдыгон т?вд бонт?, цъ?х к?рд?г, цъиуты цъыбар-цъыбур.;9cl_119.mp3
120;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;С?рдыгон каникулт?м фенхъ?лм? к?сы ?н?хъ?н аф?дз.;9cl_120.mp3
121;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Куы рал?ууынц, у?д ац?уы хохм?, й? дадам?.;9cl_121.mp3
122;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Уым, диссаджы ?рдзы хъ?бысы, арвиты с?рды бонт?.;9cl_122.mp3
123;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Й? фыды фыдим? ац?уы гагадыргът? тонынм?.;9cl_123.mp3
124;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Фены х?ххон ц?уг?д?тт?, рагон м?сгуыт?.;9cl_124.mp3
125;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Алан?м? афт? к?сы, цыма х?хб?ст?й р?сугъдд?р бынат н?й дунейы.;9cl_125.mp3
126;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ст?м ИРон ?взаг ?м? ?гъдау?й;9cl_126.mp3
127;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;М? Ирыстон, уыдис мын хай д? уарзт?й.;9cl_127.mp3
128;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ды мын сырдтай м? сон ?м? м? рын.;9cl_128.mp3
129;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;М? амонд уыд д? цин ?м? д? маст?й, з?ронд?й д?р ?з уыдон?й ц?рын!;9cl_129.mp3
130;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Хохы з?дт? ?м? быдыры дауджыт?, С?ум?йы з?дт? ?м? из?ры дауджыт?, Баххуыс к?нут у? кув?г ад?м?н! Цы з?д, цы дуаг д?, ахъаз бак?н!;9cl_130.mp3
131;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Стыр Хуыцау ?м? й? мин?в?ртт?;9cl_131.mp3
132;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;У? т?хг?-н?рг? сыгъз?рин Уастырджи, Хуыцау?й ирон ад?мм?, ирон ад?м?й Хуыцаум? дыуу?рд?м мин?вар д?, Хуыцаум? ф?ндаг дын у?гъд у, д? ф?ндон ?м б?рзонд ?в?рд у, ?м? н? й? аудындзинад?й хайджын к?н.;9cl_132.mp3
133;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Н? к?ст?рт? – де уаз?г! Фыдбылыз?й с? хиз!;9cl_133.mp3
134;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Байхъус текстм? ?м? з?гъ, куыд ар?зт цыдысты ирон ад?мы традицион б?р?гб?тт??;9cl_134.mp3
135;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ирон ад?м ц?рынц х?хб?сты ?м? быдыры, гор?тты ?м? хъ?уты, У?р?сейы ?м? ф?сар?нты.;9cl_135.mp3
136;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Уыдон?н ис иум?йаг б?р?гб?тт?: Цыппурс, Ногбон, Джеоргуыба, Хет?джы Уастырджи ?м? ?нд?рт?.;9cl_136.mp3
137;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Б?р?гб?тты ф?тк ?м? ?гъд?утт? с?вз?рдысты царды алыхуызон уав?рт?й. Уыдоны с?йрагд?рт? уыдысты х?дзарон куыстыт?. З?ххы ?м? фос дарыны куыстыт? ирон ад?мм? рагон замант?й ф?ст?м? уыдысты тынг ахсджиаг. Ц?м?й с? фыд?бон р?стм? уыдаид, уый тыхх?й та ?ххуыс куырдтой у?ларвон тыхт?й.;9cl_137.mp3
138;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ирон ад?мы традицион б?р?фгб?тт? иууылд?р ар?зт цыдысты уыцы иухуызон ф?ткыл: ритуалон архайд, куывд, хъ?лдз?г хиирх?фс?н хъ?зтыт?, зарджыт?, к?фтыт?.;9cl_138.mp3
139;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Б?р?гб?тты ф?тк ?м? ?гъд?утты ирд?й зыны, ад?ймаг амондджын цардм?, хъ?здыг, б?ркадджын тылл?г райсынм?, фос бир? к?нынм? к?й тырны, уыцы хъуыды.;9cl_139.mp3
140;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Б?р?гб?тты алы кары ад?м к?й архайдтой, уый фидар кодта ?м? к?ны ф?лт?рты ?хс?н бастдзинад.;9cl_140.mp3
141;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Хон?м у? Уациллайы куывдм?!;9cl_141.mp3
142;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Хъ?у?й быдырм? Ад?м ивылынц, ?м? айхъуысы Дард с? цины хъ?р. М?н?у, зад м?н?у, Дымг? банкъусы, ?фсир хъал з?нгтыл Акъул, аз?бул.;9cl_142.mp3
143;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ирон мифологийы Уацилла (дыгуронау – Уа- целла) у ад?мы уарзонд?р дзу?ртт?й иу, арвн?рды бардуаг, тылл?гыл ауд?г дзуар. Тылл?джы бардуаг к?й у, уым? г?сг? й? хонынц Хоры Уацилла д?р. Ирыстоны з?ххыл ын ис цалд?р кув?ндоны. С? с?йрагд?р у Тбау-Уациллайы кув?ндон Д?ргъ?всгомы.;9cl_143.mp3
144;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Уациллайы б?р?гбон алы ран д?р в?ййы хурх?т?ны м?йы (июны), хосг?рд?нты разм?. Б?р?гбонм? сц?тт? к?нынц бир? кувин?гт?. ?н?м?нг ск?нынц ?рт?дзыхонт?.;9cl_144.mp3
145;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Дзуары л?гт? Уациллай? ф?курынц б?ркадджын хор?рзад ?м? хорз фадат тылл?г бафснайын?н. Уациллайы номыл акусарт к?нынц, дзуары л?гт? рагацау к?й равзарынц, ах?м нывонд, ар?хд?р – гал. Иу?й-иу к?мтты йын нывонд?н ?рг?вдынц урс н?л фыс к?н? с?гъ.;9cl_145.mp3
146;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Уациллай?н ма ф?кувынц, хус р?ст?г к?н? къ?вдат? ?г?р куы ныдд?ргъв?тин в?ййынц, у?д.;9cl_146.mp3
147;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Уацилла! Хорд?тт?г д? ?м? н? хор ?м? цард?й бафсад! Уацилла хъ?здыг комы хуым куы кодта, Ф?лв?ра галт?р?г куы уыдис, Мыкалгабыр – мыггагтау?г, Уастырджи б?рзонд?й куы кастис, гъе у?д цы хор ?рзадис, уыцы хор кув?г дзылл?й?н ?рзайын к?н!;9cl_147.mp3
148;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;?рзад, ?рзад н? тылл?г, Сыгъд?г дзу?ртт?н – кувинаг, ?мбис?ндт?н – дзуринаг. Фыдуаний? – ?н? х?с. Н?рг? Елиа – н? з?хг?с,;9cl_148.mp3
149;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;"Алардыйы кув?ндоны цъ?х ф?зы куывддзаут?й фезм?л?н нал уыдис. Дзуары л?г Дзамболат кув?г ад?мы рухс Алардыйыл ф?дз?хста. Урс б?мб?джы тыхт?й й?м цы мысайн?гт? л?в?рдтой, уыдон дзуары сыгъз?рин т?б?гъы ?фснайдта. Уалынм? кусартг?нджыт? с? куыст фесты. Нывонд у?рыччыты нард фыд ц?нг?т агты
бафтыдтой. Уазал суадоны дон?й с? къухт? ?р?хсадтой, ?м? у?д уаз?г?й, фысым?й,
чызг?й, л?ппуй?, с? с?ргъы Дзамболат, афт?м?й, д?ларм-у?ларм х?цг?, куывддон
б?ласы алыварс д?рдтыл н?ртон симды бацыдысты.";9cl_149.mp3
150;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;?фсати ирон мифологийы ?вдыст ц?уы урс даргъзачъеджын з?ронд л?джы хуызы, бады б?рзонд хохы с?р ?м? уырдыг?й ф?лг?сы хъ?ддаг ц?р?гойты ?н?ным?ц р?гъ?утт?м.;9cl_150.mp3
151;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Инн? з?дт? ?м? дауджыт?й хъауджыд?р ?фсатийы номыл кув?ндон н? уыдис.;9cl_151.mp3
152;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Ацы бардуаг?н с?рмагонд куывдт? н? кодтой. Ф?л?-иу цуан?тт? с? балцы разм? куывтой ?фсатим? ?м? дзы куырдтой, ц?м?й сын й? фосы р?гъ?утт?й хай бак?на.;9cl_152.mp3
153;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Нарты гуыппырсарт? ?мбырд?й бадтысты. Т?рхон кодтой с? дзылл?йы царды уагыл.;9cl_153.mp3
154;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;– Нарт Нарт у?д уыдысты, арв с? н?рын у?д н? у?ндыди, ?м? м?лын куы зыдтой с? дзылл?йы с?рыл, алчи с? х?цын куы ф?р?зта й?хиуыл.;9cl_154.mp3
155;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Нарт Нарт у?д уыдысты, ?м? н?ртон ад?ймаг р?стдзинад йедд?м? куы ницы дзырдта.;9cl_155.mp3
156;БОЛЛОТЫ ЛЕН?ИРОН ?ВЗАГ 9 класс;Н? дзылл? дзылл? у?д уыдысты, ?м? с? с?р с?рм? куы хастой, – афт? радзырдта Нарты ?мбырды иу хист?р.;9cl_156.mp3
